lat_round,lon_round,session_count,min_dist_km,nearby_sessions_2km,competitors_within_2km,predicted_demand,bucket
19.1206,72.9188,3,0.0,16,6,4.909554393454159,near
19.1164,72.9109,4,0.005365546920255696,12,4,4.2516094082700455,near
19.0313,72.881,2,0.004935436000034197,16,5,4.034849244740578,near
18.9894,72.8252,4,0.006059462545863519,14,7,3.963401368592419,near
19.102,72.8872,4,0.0,11,4,3.9609715275883253,near
19.1738,72.86,3,0.00468754604618854,4,2,3.7528951716634853,near
19.1146,72.8841,3,0.0017377648628767966,15,7,3.7052481987039627,near
19.106,72.9286,3,0.0,8,4,3.696205761933527,near
19.1337,72.9008,3,0.0048963044104492585,6,3,3.6412529992916087,near
19.1866,72.9728,3,0.0,6,3,3.5998730476490874,near
19.2402,72.8482,3,0.004471356558272758,10,5,3.5952563178856547,near
19.0029,72.824,3,0.0,21,12,3.5485199113853034,near
19.0815,72.8367,3,0.0,7,3,3.4829726663468983,near
18.9892,73.117,3,0.0,10,5,3.4628909841150124,near
19.0302,72.8927,11,0.0,16,5,3.4037865895697044,near
19.109,72.8771,3,0.0,14,6,3.3793478644377006,near
19.12,72.9141,3,0.000725707316305964,12,4,3.322680794744594,near
19.0516,72.838,3,0.0011614813529369408,6,3,3.2786901209328634,near
19.1182,72.9053,2,0.0,16,6,3.0878969196070187,near
19.0977,72.8271,3,0.0,5,3,3.0564361026242883,near
