model,rmse_mean,rmse_std,r2_mean,r2_std
GradientBoosting,0.23798190131225666,0.04889823318154503,0.9931790256280406,0.003333172464490163
RandomForest,0.29252249849068096,0.07434381195752283,0.9892860883896899,0.007110979686040719
XGBoost,0.3565026968717575,0.0708785372833314,0.9852306365966796,0.006621394197030289
LinearRegression,0.6045290309015529,0.058916388104090466,0.9597661557960422,0.007265548531241068
Ridge,0.6184187428191101,0.07291355116859616,0.9578351881451663,0.00901904008981499
Lasso,2.9497407936042017,0.29249537658367436,0.05653414552124869,0.03999287537101148
